wavelength,n,k,re_eps,im_eps
400,1.658,1.956,-1.076972,6.486096
413.3,1.636,1.958,-1.157268,6.406576
427.5,1.616,1.94,-1.152144,6.27008
442.8,1.562,1.904,-1.185372,5.948096
459.2,1.426,1.846,-1.37424,5.264792
476.9,1.242,1.796,-1.683052,4.461264
495.9,0.916,1.84,-2.546544,3.37088
516.6,0.608,2.12,-4.124736,2.57792
539.1,0.402,2.54,-6.289996,2.04216
563.6,0.306,2.88,-8.200764,1.76256
652.6,0.166,3.15,-9.894944,1.0458
688.8,0.16,3.8,-14.4144,1.216
729.3,0.164,4.35,-18.895604,1.4268
774.9,0.174,4.86,-23.589324,1.69128
826.6,0.188,5.39,-29.016756,2.02664
